"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"IN099999901","PORT BLAIR, IN","2000-04-10","81","87","72"
"IN099999901","PORT BLAIR, IN","2000-04-11","80","88","73"
"IN099999901","PORT BLAIR, IN","2000-04-12","78","83","72"
"IN099999901","PORT BLAIR, IN","2000-04-13","81","89","73"
"IN099999901","PORT BLAIR, IN","2000-04-14","83","88",
"IN099999901","PORT BLAIR, IN","2000-04-15","81","87","74"
"IN099999901","PORT BLAIR, IN","2000-04-16","82","91","75"
"IN099999901","PORT BLAIR, IN","2000-04-17","81","89","72"
"IN099999901","PORT BLAIR, IN","2000-04-18","80",,"71"
"IN099999901","PORT BLAIR, IN","2000-04-19","83",,"69"
"IN099999901","PORT BLAIR, IN","2000-04-20","82","88",
"IN099999901","PORT BLAIR, IN","2000-04-21","84","89","68"
"IN099999901","PORT BLAIR, IN","2000-04-22","82",,"71"
"IN099999901","PORT BLAIR, IN","2000-04-23","82","87","71"
"IN099999901","PORT BLAIR, IN","2000-04-24","80",,"72"
"IN099999901","PORT BLAIR, IN","2000-04-25","79","84","71"
"IN099999901","PORT BLAIR, IN","2000-04-26","76","85","70"
"IN099999901","PORT BLAIR, IN","2000-04-27","78","85","69"
"IN099999901","PORT BLAIR, IN","2000-04-28","76","78","73"
"IN099999901","PORT BLAIR, IN","2000-04-29","79","86","72"
"IN099999901","PORT BLAIR, IN","2000-04-30","82","87","75"
"IN099999901","PORT BLAIR, IN","2000-05-01","82","88","76"
"IN099999901","PORT BLAIR, IN","2000-05-02","79","82","76"
"IN099999901","PORT BLAIR, IN","2000-05-03","82","87","76"
"IN099999901","PORT BLAIR, IN","2000-05-04","81","89","75"
"IN099999901","PORT BLAIR, IN","2000-05-05","83","88","75"
"IN099999901","PORT BLAIR, IN","2000-05-06","83","88","76"
"IN099999901","PORT BLAIR, IN","2000-05-07","82","87","76"
"IN099999901","PORT BLAIR, IN","2000-05-08","81","89","76"
"IN099999901","PORT BLAIR, IN","2000-05-09","80",,"77"
"IN099999901","PORT BLAIR, IN","2000-05-10","81","87","77"
"IN099999901","PORT BLAIR, IN","2000-05-11","79","85","76"
"IN099999901","PORT BLAIR, IN","2000-05-12","81","87","74"
"IN099999901","PORT BLAIR, IN","2000-05-13","81","88","75"
"IN099999901","PORT BLAIR, IN","2000-05-14","79","84",
"IN099999901","PORT BLAIR, IN","2000-05-15","80","85","72"
"IN099999901","PORT BLAIR, IN","2000-05-16","84","87","79"
"IN099999901","PORT BLAIR, IN","2000-05-17","82","86",
"IN099999901","PORT BLAIR, IN","2000-05-18","80","86",
"IN099999901","PORT BLAIR, IN","2000-05-19","82","86",
"IN099999901","PORT BLAIR, IN","2000-05-20","80","86",
"IN099999901","PORT BLAIR, IN","2000-05-21","83","87","73"
"IN099999901","PORT BLAIR, IN","2000-05-22","83","88","74"
"IN099999901","PORT BLAIR, IN","2000-05-23","82","88",
"IN099999901","PORT BLAIR, IN","2000-05-24","82","88",
"IN099999901","PORT BLAIR, IN","2000-05-25","83","87","77"
"IN099999901","PORT BLAIR, IN","2000-05-26","83","88","78"
"IN099999901","PORT BLAIR, IN","2000-05-27","83","89","76"
"IN099999901","PORT BLAIR, IN","2000-05-28","82","87",
"IN099999901","PORT BLAIR, IN","2000-05-29","77","81","72"
"IN099999901","PORT BLAIR, IN","2000-05-30","79","83","72"
"IN099999901","PORT BLAIR, IN","2000-05-31","79","83",
"IN099999901","PORT BLAIR, IN","2000-06-01","81","86",
"IN099999901","PORT BLAIR, IN","2000-06-02","80","85","76"
"IN099999901","PORT BLAIR, IN","2000-06-03","78","83","74"
"IN099999901","PORT BLAIR, IN","2000-06-04","78","82",
"IN099999901","PORT BLAIR, IN","2000-06-05","79","84","75"
"IN099999901","PORT BLAIR, IN","2000-06-06","81","84","77"
"IN099999901","PORT BLAIR, IN","2000-06-07","84","87",
"IN099999901","PORT BLAIR, IN","2000-06-08","83","87","77"
"IN099999901","PORT BLAIR, IN","2000-06-10","76",,
"IN099999901","PORT BLAIR, IN","2000-06-11","80","82",
"IN099999901","PORT BLAIR, IN","2000-06-12","82","85",
"IN099999901","PORT BLAIR, IN","2000-06-13","83","86",
"IN099999901","PORT BLAIR, IN","2000-06-14","83","86","77"
"IN099999901","PORT BLAIR, IN","2000-06-15","83","85","77"
"IN099999901","PORT BLAIR, IN","2000-06-16","83","86",
"IN099999901","PORT BLAIR, IN","2000-06-17","82","86",
"IN099999901","PORT BLAIR, IN","2000-06-18","82","86","73"
"IN099999901","PORT BLAIR, IN","2000-06-19","82","85","79"
"IN099999901","PORT BLAIR, IN","2000-06-20","80","85","76"
"IN099999901","PORT BLAIR, IN","2000-06-21","80","84","77"
"IN099999901","PORT BLAIR, IN","2000-06-22","81","87","76"
"IN099999901","PORT BLAIR, IN","2000-06-23","81","87",
"IN099999901","PORT BLAIR, IN","2000-06-24","82","86","76"
"IN099999901","PORT BLAIR, IN","2000-06-25","80","84","76"
"IN099999901","PORT BLAIR, IN","2000-06-26","76","78","74"
"IN099999901","PORT BLAIR, IN","2000-06-27","79","83",
"IN099999901","PORT BLAIR, IN","2000-06-28","78","82","72"
"IN099999901","PORT BLAIR, IN","2000-06-29","80","85","73"
"IN099999901","PORT BLAIR, IN","2000-06-30","78","82",
"IN099999901","PORT BLAIR, IN","2000-07-01","78","86","74"
"IN099999901","PORT BLAIR, IN","2000-07-02","79","86","73"
"IN099999901","PORT BLAIR, IN","2000-07-03","79",,"74"
"IN099999901","PORT BLAIR, IN","2000-07-04","79","86","75"
"IN099999901","PORT BLAIR, IN","2000-07-05","80","85","74"
"IN099999901","PORT BLAIR, IN","2000-07-06","81","86","74"
"IN099999901","PORT BLAIR, IN","2000-07-07","81","85","75"
"IN099999901","PORT BLAIR, IN","2000-07-08","80","85","76"
"IN099999901","PORT BLAIR, IN","2000-07-09","80","84","76"
"IN099999901","PORT BLAIR, IN","2000-07-10","79","81","72"
"IN099999901","PORT BLAIR, IN","2000-07-11","81","83",
"IN099999901","PORT BLAIR, IN","2000-07-12","81","83","77"
"IN099999901","PORT BLAIR, IN","2000-07-13","81","83",
"IN099999901","PORT BLAIR, IN","2000-07-14","82","85","77"
"IN099999901","PORT BLAIR, IN","2000-07-15","82","84",
"IN099999901","PORT BLAIR, IN","2000-07-16","82","85","79"
"IN099999901","PORT BLAIR, IN","2000-07-17","83","86",
"IN099999901","PORT BLAIR, IN","2000-07-18","81","86","77"
"IN099999901","PORT BLAIR, IN","2000-07-19","82","86","78"
"IN099999901","PORT BLAIR, IN","2000-07-20","82","87","77"
"IN099999901","PORT BLAIR, IN","2000-07-21","82",,"78"
"IN099999901","PORT BLAIR, IN","2000-07-22","82","86","77"
"IN099999901","PORT BLAIR, IN","2000-07-23","82","86","77"
"IN099999901","PORT BLAIR, IN","2000-07-24","82","87","74"
"IN099999901","PORT BLAIR, IN","2000-07-25","83","87","78"
"IN099999901","PORT BLAIR, IN","2000-07-26","82","87","76"
"IN099999901","PORT BLAIR, IN","2000-07-27","81","87",
"IN099999901","PORT BLAIR, IN","2000-07-28","82",,"77"
"IN099999901","PORT BLAIR, IN","2000-07-29","82","86","76"
"IN099999901","PORT BLAIR, IN","2000-07-30","80","87","76"
"IN099999901","PORT BLAIR, IN","2000-07-31","81","87","75"
"IN099999901","PORT BLAIR, IN","2000-08-01","81","87","76"
"IN099999901","PORT BLAIR, IN","2000-08-02","82","87",
"IN099999901","PORT BLAIR, IN","2000-08-03","81","87","76"
"IN099999901","PORT BLAIR, IN","2000-08-04","78","85",
"IN099999901","PORT BLAIR, IN","2000-08-05","80","85","72"
"IN099999901","PORT BLAIR, IN","2000-08-06","78","84","72"
"IN099999901","PORT BLAIR, IN","2000-08-07","78","81","73"
"IN099999901","PORT BLAIR, IN","2000-08-08","77","83","72"
"IN099999901","PORT BLAIR, IN","2000-08-09","76","81","72"
"IN099999901","PORT BLAIR, IN","2000-08-10","81",,"72"
"IN099999901","PORT BLAIR, IN","2000-08-11","81","87",
"IN099999901","PORT BLAIR, IN","2000-08-12","82","87","75"
"IN099999901","PORT BLAIR, IN","2000-08-13","82",,"77"
"IN099999901","PORT BLAIR, IN","2000-08-14","81","86","75"
"IN099999901","PORT BLAIR, IN","2000-08-15","80",,"76"
"IN099999901","PORT BLAIR, IN","2000-08-16","77","82",
"IN099999901","PORT BLAIR, IN","2000-08-17","77","83","71"
"IN099999901","PORT BLAIR, IN","2000-08-18","76","82","72"
"IN099999901","PORT BLAIR, IN","2000-08-19","76","79","73"
"IN099999901","PORT BLAIR, IN","2000-08-20","79","85",
"IN099999901","PORT BLAIR, IN","2000-08-21","76","80",
"IN099999901","PORT BLAIR, IN","2000-08-22","81","84","72"
"IN099999901","PORT BLAIR, IN","2000-08-23","80","85","75"
